2025-11-08T00:57:59.447Z||3ESERe1We0xBfEud||CONF|||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1,"hostId":"node-123.test.test"},"Github":{"host":"https://github.com/","repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","loggerSchemaVersion":"1.0","logLight":false,"logPretty":false,"printStdout":true,"printFile":true,"logAsync":true,"logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/*LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"]}}]
2025-11-08 00:58:00.560|scheduling-1#52|1BOmbf56eyOfscgMy4MTOwvf3ZeqVTHC|1|TEXT||SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:00.560|scheduling-1#52|72gqDyyrgt9jmLWYr0aByHhN7JRxOkVQ|1|TEXT||SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:00.560|scheduling-1#52|6Lk46YJdiL8sTp5t29higKa8rwo2Mmqh|1|JSON|Send Verification Url To Customers|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:00.560|scheduling-1#52|6Lk46YJdiL8sTp5t29higKa8rwo2Mmqh|2|TEXT||SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:00.560|scheduling-1#52|6Lk46YJdiL8sTp5t29higKa8rwo2Mmqh|3|JSON|Send Verification Url To Customers|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-11-08 00:58:00.560|scheduling-1#52|1IgcGr03u1QzP15z80p0O8I7wduTKGg5|1|JSON|Send Verification Url To Customers|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:00.560|scheduling-1#52|1IgcGr03u1QzP15z80p0O8I7wduTKGg5|2|TEXT||SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:00.560|scheduling-1#52|1IgcGr03u1QzP15z80p0O8I7wduTKGg5|3|JSON|Send Verification Url To Customers|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-11-08 00:58:00.561|scheduling-1#52|5UyB6yNLXSSqh3MfMn8ln9fTd8sAZLQQ|1|TEXT||SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:00.561|scheduling-1#52|4AvBba2sTyVkgIz1wg8tgE1G5GlWxTjX|1|TEXT||SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:05.635|http-nio-80-exec-1#40|65jWRibUscwrFsgXxk1BzddimrVih0B5|1|HTTP||LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"0:0:0:0:0:0:0:1:64407"},{"method":"GET"},{"requestURL":"http://localhost/api/user/save"},{"headers":{}},{"body":{"name":["br***ng"],"driverLisenceId":["******"],"age":["1001"]}}]
2025-11-08 00:58:05.455|scheduling-1#52|3PBtMUcHamHDJbyPiZYl5SPzytiaRyb6|1|JSON||SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#runMailRunnable#25#|[null]
2025-11-08 00:58:05.456|scheduling-1#52|3PBtMUcHamHDJbyPiZYl5SPzytiaRyb6|2|JSON||SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#runMailRunnable#25#R|[null]
2025-11-08 00:58:05.781|http-nio-80-exec-1#40|65jWRibUscwrFsgXxk1BzddimrVih0B5|2|JSON||ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":0}]
2025-11-08 00:58:05.782|http-nio-80-exec-1#40|65jWRibUscwrFsgXxk1BzddimrVih0B5|3|JSON||ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-11-08 00:58:05.792|http-nio-80-exec-1#40|65jWRibUscwrFsgXxk1BzddimrVih0B5|4|JSON||UserService.java#io.bitryon.example.web.service.rpc.UserService#save#0#|[{"user":{"name":"br***ng","id":0,"driverLisenceId":"******","age":1001}}]
2025-11-08 00:58:06.053|http-nio-80-exec-2#41|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|1|HTTP||LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"0:0:0:0:0:0:0:1:64408"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/save"},{"headers":{}},{"body":{"id":["123"],"deceases":["unkown"]}}]
2025-11-08 00:58:06.056|http-nio-80-exec-2#41|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|2|JSON||MedicConditionController.java#io.bitryon.example.web.controller.MedicConditionController#save#64|["save request paylod, should be with trace",{"id":123,"deceases":"unko***wn","timeCreated":"1970-01-01 00:00:00.0000","userId":0}]
2025-11-08 00:58:06.057|http-nio-80-exec-2#41|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|3|JSON||ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#query#11#|[{"userId":1762563486057,"page":null}]
2025-11-08 00:58:06.058|http-nio-80-exec-2#41|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|4|JSON||ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#query#11#R|["5a01a3c6-a601-43a7-8820-ac83dcca693d"]
2025-11-08 00:58:06.061|http-nio-80-exec-2#41|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|5|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#save#48#|[{"condition":{"id":123,"deceases":"unko***wn","timeCreated":"1970-01-01 00:00:00.0000","userId":0}}]
2025-11-08 00:58:06.063|http-nio-80-exec-2#41|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|6|JSON||MedicDAO.java#io.bitryon.example.web.dao.MedicDAO#save#36#|[{"condition":{"id":123,"deceases":"unko***wn","timeCreated":"1970-01-01 00:00:00.0000","userId":0}}]
2025-11-08 00:58:06.063|http-nio-80-exec-2#41|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|7|JSON||MedicDAO.java#io.bitryon.example.web.dao.MedicDAO#save#36#R|[{"id":123,"deceases":"unko***wn","timeCreated":"1970-01-01 00:00:00.0000","userId":0}]
2025-11-08 00:58:06.064|http-nio-80-exec-2#41|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|8|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#save#54|[{"userId":0}]
2025-11-08 00:58:06.329|http-nio-80-exec-3#42|65jWRibUscwrFsgXxk1BzddimrVih0B5|4-1|HTTP||LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"127.0.0.1:64414"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/save"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:06.329|http-nio-80-exec-4#43|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|8-1|HTTP||LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"127.0.0.1:64413"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:06.484|http-nio-80-exec-4#43|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|8-2|JSON||UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#|[{"userId":0}]
2025-11-08 00:58:06.485|http-nio-80-exec-4#43|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|8-3|TEXT||UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#29|This should be remote service, will be with trace for user 0
2025-11-08 00:58:06.485|http-nio-80-exec-4#43|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|8-4|JSON||UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-11-08 00:58:06.609|http-nio-80-exec-3#42|65jWRibUscwrFsgXxk1BzddimrVih0B5|4-2|JSON||UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#save#60#|[{"user":{"name":"br***ng","id":0,"driverLisenceId":"******","age":1001}}]
2025-11-08 00:58:06.610|http-nio-80-exec-3#42|65jWRibUscwrFsgXxk1BzddimrVih0B5|4-3|JSON||UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#save#60#R|[{"name":"br***ng","id":789,"driverLisenceId":"******","age":1001}]
2025-11-08 00:58:06.614|http-nio-80-exec-1#40|65jWRibUscwrFsgXxk1BzddimrVih0B5|5|JSON||UserService.java#io.bitryon.example.web.service.rpc.UserService#save#0#R|[{"name":"br***ng","id":789,"driverLisenceId":"******","age":1001}]
2025-11-08 00:58:06.615|http-nio-80-exec-1#40|65jWRibUscwrFsgXxk1BzddimrVih0B5|6|JSON||ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":789}]
2025-11-08 00:58:06.615|http-nio-80-exec-1#40|65jWRibUscwrFsgXxk1BzddimrVih0B5|7|JSON||ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-11-08 00:58:06.614|http-nio-80-exec-2#41|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|9|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#save#54R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-11-08 00:58:06.615|http-nio-80-exec-2#41|3B5xBQfk7CxciT7SX6VWVcnA2HvR2IyU|10|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#save#48#R|[{"medicConditionDO":{"id":123,"deceases":"unko***wn","timeCreated":"1970-01-01 00:00:00.0000","userId":0},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}}]
2025-11-08 00:58:06.670|http-nio-80-exec-6#45|4xc6N7U75JxMdGGmiFwjHJrncH7ZSc62|1|HTTP||LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"0:0:0:0:0:0:0:1:64407"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/test_async_email"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:06.672|http-nio-80-exec-6#45|4xc6N7U75JxMdGGmiFwjHJrncH7ZSc62|2|JSON||SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#unHookedThreadDelivery#41#|[{"recipient":"test@email.email","verificationUrl":"http://localhost/unHookedThreadDelivery/1762563486671"}]
2025-11-08 00:58:06.673|http-nio-80-exec-6#45|4xc6N7U75JxMdGGmiFwjHJrncH7ZSc62|3|JSON||SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#unHookedThreadDelivery#41#R|[null]
2025-11-08 00:58:07.500|http-nio-80-exec-10#49|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|21-1|HTTP||LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"127.0.0.1:64413"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:07.501|http-nio-80-exec-10#49|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|21-2|JSON||UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#|[{"userId":456}]
2025-11-08 00:58:07.501|http-nio-80-exec-10#49|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|21-3|TEXT||UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#29|This should be remote service, will be with trace for user 456
2025-11-08 00:58:07.501|http-nio-80-exec-10#49|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|21-4|JSON||UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getById#24#R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-11-08 00:58:07.468|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|1|HTTP||LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"0:0:0:0:0:0:0:1:64407"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/query"},{"headers":{}},{"body":{"session_id":["xxx"],"offset":["0"],"size":["123"]}}]
2025-11-08 00:58:07.478|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|2|JSON||ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":1762563487478}]
2025-11-08 00:58:07.478|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|3|JSON||ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-11-08 00:58:07.478|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|4|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#query#28#|[{"sessionId":"xxx","page":{"size":123,"offset":0}}]
2025-11-08 00:58:07.479|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|5|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#query#29|[{"sessionId":"xxx"}]
2025-11-08 00:58:07.490|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|6|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#query#29R|[{"name":"ra***ly","id":456,"driverLisenceId":"****************************","age":null}]
2025-11-08 00:58:07.491|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|7|JSON||MedicDAO.java#io.bitryon.example.web.dao.MedicDAO#query#17#|[{"userId":456,"page":{"size":123,"offset":0}}]
2025-11-08 00:58:07.491|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|8|JSON||MedicDAO.java#io.bitryon.example.web.dao.MedicDAO#query#17#R|[[{"id":321,"deceases":"idk,***ever","timeCreated":"5490-12-21 05:31:51.0051","userId":123},{"id":654,"deceases":"idk,***ever","timeCreated":"9011-12-11 11:03:42.0042","userId":456},{"id":987,"deceases":"idk,***ever","timeCreated":"12532-11-29 16:35:33.0033","userId":789}]]
2025-11-08 00:58:07.492|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|9|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation#68#|[{"testString":"xxx"}]
2025-11-08 00:58:07.492|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|10|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_protected#73#|[{"testString":"xxx"}]
2025-11-08 00:58:07.493|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|11|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_friendly#78#|[{"testString":"xxx"}]
2025-11-08 00:58:07.493|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|12|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_private#83#|[{"testString":"xxx"}]
2025-11-08 00:58:07.493|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|13|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_final#88#|[{"testString":"xxx"}]
2025-11-08 00:58:07.493|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|14|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_final#88#R|["1762563487493"]
2025-11-08 00:58:07.493|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|15|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_private#83#R|["1762563487493"]
2025-11-08 00:58:07.493|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|16|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_friendly#78#R|["1762563487493"]
2025-11-08 00:58:07.493|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|17|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation_protected#73#R|["1762563487493"]
2025-11-08 00:58:07.493|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|18|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#callSelfInvocation#68#R|["1762563487493"]
2025-11-08 00:58:07.493|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|19|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38|[{"userId":123}]
2025-11-08 00:58:07.498|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|20|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-11-08 00:58:07.499|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|21|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38|[{"userId":456}]
2025-11-08 00:58:07.503|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|22|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-11-08 00:58:07.504|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|23|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38|[{"userId":789}]
2025-11-08 00:58:07.508|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|24|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-11-08 00:58:07.508|http-nio-80-exec-7#46|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|25|JSON||MedicService.java#io.bitryon.example.web.service.MedicService#query#28#R|[[{"medicConditionDO":{"id":321,"deceases":"idk,***ever","timeCreated":"5490-12-21 05:31:51.0051","userId":123},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}},{"medicConditionDO":{"id":654,"deceases":"idk,***ever","timeCreated":"9011-12-11 11:03:42.0042","userId":456},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}},{"medicConditionDO":{"id":987,"deceases":"idk,***ever","timeCreated":"12532-11-29 16:35:33.0033","userId":789},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}}]]
2025-11-08 00:58:07.481|http-nio-80-exec-8#47|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|5-1|HTTP||LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#36|[{"remoteHost":"127.0.0.1:64413"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_session_id"},{"headers":{}},{"body":{}}]
2025-11-08 00:58:07.484|http-nio-80-exec-8#47|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|5-2|JSON||UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getBySessionId#43#|[{"sessionId":"xxx"}]
2025-11-08 00:58:07.488|http-nio-80-exec-8#47|23dlGwGkX1hOfuvPrDGmjnn2Vp8MQGY9|5-3|JSON||UserServiceImpl.java#io.bitryon.example.web.service.rpc.UserServiceImpl#getBySessionId#43#R|[{"name":"ra***ly","id":456,"driverLisenceId":"****************************","age":null}]
